edep,t,x,y,z,pid
4.90323e-08,203612,6025.13,-408.714,7626.82,2212
5.80612e-08,202049,6027.13,-411.446,7623.83,1.00006e+09
4.18639e-08,200841,6027.5,-412.526,7620.72,2212
2.05548e-08,200266,6027.72,-412.09,7619.8,2212
1.45474e-07,199412,6028.78,-412.826,7619.27,2212
1.1762e-06,198629,6029.54,-410.243,7616.26,2212
4.19588e-07,198590,6029.9,-410.699,7616.09,1.00006e+09
3.53544e-05,615.999,7760.94,-437.159,7775.73,1.00008e+09
3.655e-05,513.59,7749.29,-439.339,7791.95,1.00006e+09
5.71722e-05,481.461,7754.88,-439.145,7795.91,1.00006e+09
1.76988e-05,462.711,7754.18,-434.826,7795.08,1.00008e+09
0.00530438,449.015,7752.85,-433.882,7792.15,2212
0.00382443,448.098,7751.92,-433.79,7792.33,2212
0.00198978,447.886,7751.68,-433.673,7792.22,2212
0.0230667,444.664,7747.17,-432.137,7792.27,2212
0.0431507,440.137,7741.79,-427.393,7801.42,2212
0.710851,334.824,7255.52,344.883,7881.36,1.00006e+09
4.85618e-09,86879.8,5928.59,433.2,7496.8,2212
4.16334e-09,85799.7,5929.32,431.259,7497.44,2212
2.98045e-08,85798,5929.32,431.257,7497.44,2212
2.04396e-08,57504.5,5947.42,380.096,7501.86,2212
4.58364e-08,56740.7,5947.69,380.577,7501.53,2212
8.19699e-08,56295.7,5947.82,380.198,7501.11,1.00006e+09
3.82748e-08,35232,5936.67,413.041,7478.13,2212
1.314e-07,4109.94,5890.89,387.39,7515.66,2212
5.80071e-07,2154.35,5887.35,384.268,7512.36,2212
3.30543e-06,1257.49,5893.91,380.658,7506.04,2212
3.03799e-07,1210.5,5894.97,381.232,7505.62,1.00008e+09
9.64293e-07,1160.21,5896,380.674,7504.83,2212
1.02341e-05,1026.89,5899.81,379.296,7503.92,2212
2.55693e-07,1018.69,5900.17,379.324,7504.18,1.00008e+09
0.000131757,975.847,5901.2,379.336,7506.27,2212
0.000314039,564.315,5924.59,443.339,7517.44,2212
0.000616715,557.659,5925.04,444.628,7516.01,2212
0.0121495,555.058,5925.83,444.566,7515.14,2212
0.241399,552.736,5925.44,441.233,7513.6,2212
0.00029101,160.901,5958.94,441.261,7727.97,22
0.414049,160.924,5958.92,441.713,7728.55,11
0.0404307,160.928,5958.91,442.191,7728.87,11
5.7687e-07,92045.2,6161.02,-373.471,7913.67,2212
8.35832e-07,91723.7,6163.96,-371.857,7911.11,2212
3.71539e-07,89514.4,6170.56,-357.903,7874.2,2212
1.33117e-06,89301.8,6172.92,-356.381,7871.06,2212
1.78661e-06,89266.8,6172.85,-355.773,7870.42,2212
9.5854e-07,58738,5896.25,166.09,7281.25,2212
1.90749e-05,58395,5889.83,174.765,7276.6,2212
0.000206079,527.186,5953.26,-119.074,8035.22,1.00006e+09
